name,instruction,response,completion_tokens,time_taken,estimated_time_str
Curried Cauliflower Gratin,"Recipe Name: Curried Cauliflower Gratin
Preheat the oven to 400 F. Butter an 8x8-inch baking dish and set aside.Steam the whole cauliflower until tender but not soggy (about 15 minutes). Cool and slice the cauliflower horizontally.
Heat the peanut oil in a saucepan over medium heat.
Add the ginger, shallot, and garlic; saute for 3 to 4 minutes.
Add the dry spices and saute until aromatic, about 3 minutes.
Sprinkle in the flour and stir to cook, about 2 minutes.
Whisk in the coconut milk and salt and cook at a simmer, stirring, about 3 to 5 minutes (until thickened).
Layer the cauliflower slices and curry cream in the prepared baking dish.
Sprinkle the cumin seeds and breadcrumbs over the cauliflower and curry cream.
Drizzle the breadcrumbs with the melted butter.
Bake for 25 to 30 minutes until golden brown and bubbling.
Sprinkle the finished dish with the minced cilantro and serve.","- Preheating the oven: 10 minutes (can be done concurrently while other steps are performed)
- Steaming the cauliflower: 15 minutes
- Cooling and slicing cauliflower: 5 minutes (cooling can be done concurrently while starting the saucepan steps)
- Sauteing ginger, shallot, and garlic: 4 minutes
- Sauteing dry spices: 3 minutes
- Cooking flour: 2 minutes
- Cooking with coconut milk: 5 minutes
- Preparing baking dish with layered cauliflower and curry cream: 5 minutes (including sprinkling cumin seeds and breadcrumbs, and drizzling melted butter)
- Baking: 30 minutes

We will use the single longest step at once (30 minutes) plus the cumulative time for other non-overlapping steps.

Total Time: 30 + 15 + 5 + 4 + 3 + 2 + 5 = 64 minutes. 

Total Time: 64 minutes",193,23.56497621536255,64 minutes
Chocolate Banana Zucchini Cake,"Recipe Name: Chocolate Banana Zucchini Cake
Pre-heat the oven to 350 degrees F and grease a 10-inch cake or springform pan with oil.
In a large mixing bowl, whisk together the flour, cocoa powder, baking soda, baking powder and salt.
In a food processor, process the sugar and butter until creamy. You can also do this by hand using a sturdy spatula.
Add the vanilla essence, coffee granules and eggs mixing well between each addition.
Reserve a cup of the flour mixture and add the rest to the egg mixture.
Mix until just combined. The batter will be thick.
Add the mashed banana and mix. Don't overmix.The batter will be lumpy.
Add the zucchini and chocolate chips to the reserved flour mixture and toss to coat.
Fold into the batter and blend with a spatula- don't overmix.
Pour into the prepared cake pan and level the surface with a spatula.
Bake for 40-50 min, until a knife inserted in the center comes out clean.
Let it cool for 10 min, run a knife around the pan to loosen the cake and take the cake out carefully on the cooling rack.
Let it come to room temperature.
Sprinkle with confectioner's sugar or glaze with melted chocolate.",Total Time: 70 minutes,6,0.7843918800354004,70 minutes
Slow Cooker Chicken and Dumplings,"Recipe Name: Slow Cooker Chicken and Dumplings
Place Slow Cooker on high.
Add chicken breasts, butter, water, soup, flour, onion, poultry seasoning, pepper, and parsley. Stir and mix well. Cook on high for 4 hours. Take two forks and start shredding chicken in the mixture.After shredding chicken, tear small pieces of biscuit dough and place in slow cooker for remaining 2 hours. Stirring occasionally.",Total Time: 360 minutes,6,20.847846031188965,360 minutes
Moosewood Lentil Soup,"Recipe Name: Moosewood Lentil Soup
Place lentils and water in a soup pot or Dutch oven.Bring to a boil, lower heat to a simmer, and let cook until lentils are mushy (about 45 minutes).
Add more water as needed, until the soup is your favorite consistency.
Heat oil or melt butter in a medium-sized skillet.
Add onion, celery, and carrots, and saut over medium heat for about 10 minutes.
Add garlic, salt, pepper, and herbs of your choice, and saut about 5 minutes longer.
Transfer to lentils.Stir in wine, if desired, lemon juice and molasses or brown sugar.Taste to correct seasonings, then simmer for
At least 15 minutes longer.
Serve hot, with a little vinegar drizzled onto each serving, and a sprinkling of minced
Scallions or parsley on top, if desired.",Total Time: 75 minutes,6,20.749195098876953,75 minutes
Mango Banana Coconut Smoothie,"Recipe Name: Mango Banana Coconut Smoothie
Prepare the banana the night before. Peel, slice, and place on a small parchment lined tray. Pop into the freezer.The same can be done with the mango, but I used frozen mango pieces for convenience.Toss all of the ingredients into a blender and blend until smooth, adding more water if necessary. If you like, add some freshly squeezed orange juice for a citrusy flavour.
Serve cold.","Preparing the banana the night before will take around 10 minutes. If you are using pre-frozen mango pieces, assembling the ingredients and blending will take an additional 5 minutes.

Total Time: 15 minutes",42,21.35229992866516,15 minutes
"Vanilla Cream Cakes, Easy and Fluffy Holiday Cakes","Recipe Name: Vanilla Cream Cakes, Easy and Fluffy Holiday Cakes
You can also check recipe video here: http://www.youtube.com/watch?v=U9Mqqrv02H4
Preheat the oven on 200 C (about 390 F).
Size of the baking dish: around 14 inch long, 10 inch wide, 3.2 inch deep
Roll the pastry thin, in to the size of your baking dish. You should roll half of pastry for the bottom side of cakes and half of pastry for upper side off the cakes. The size should be just a little bigger than the size of your baking dish.
Bake the pastry for about 10-15 minutes until golden brown. Cool the upper layer completely. Leave the second one (bottom layer) in the baking dish.
Divide egg yolks from egg whites, putting egg whites in to the larger bowl.
For the egg yolk mixture, add sugar, vanilla and rum to the egg yolks into a smaller bowl.
Mix them together for a minute or two.
Add flour and 1/4 off milk and mix together to get a smooth mixture.
Mix egg whites in the large bowl until firm consistency. Then add sugar and mix again. The consistency after adding the sugar should be very firm.
Put the rest of the milk in to a large cooking pot and bring it to boiling point. Take a whisk and slowly pour the egg yolk mixture in to boiling milk, whisking the whole time. Cook it for 5 minutes, whisking the whole time. After 5 minutes the consistency should be thick and very hard for you to whisk.
NOW THE CRUCIAL AN THE HARDEST PART  IT IS BETTER THAT TWO PERSONS DO THIS
Take the boiling mixture of the stove.
Pour it in into egg whites very slowly at first.
Whisk the whole time.  When you see both mixtures getting nicely mixed together in to a thicker mixture pour the boiling mixture faster into egg whites, until the end. When mixed, immediately pour the mixture in to the baking dish in which you have the bottom layer of baked pastry.
Shake the baking dish slightly so that every corner of pastry gets field, and leave it to cool (best is over night in the refrigerator).
Mix sugar and whipping cream in a bowl. Put whipped cream on the top off the cooled mixture.
Take the other baked pastry and cut it in to 15 same sized squares.
Put the squares on to the whipped cream.
Just before serving cut the cakes in to squares and sprinkle powdered sugar on top.","Preheat oven: 10 minutes
Roll pastry: 10 minutes
Bake pastry: 15 minutes (average)
Cool upper layer: 20 minutes
Prepare egg yolk mixture: 5 minutes
Mix egg whites: 5 minutes
Boil milk and cook yolk mixture: 10 minutes
Mix egg yolk mixture into egg whites: 5 minutes
Cool mixture (overnight): 8 hours (480 minutes)
Prepare and apply whipped cream: 5 minutes
Cut pastry and finish assembling: 5 minutes

Total Time: 570 minutes",115,21.633683443069458,570 minutes
Chocolate Hazelnut Mousse,"Recipe Name: Chocolate Hazelnut Mousse
Dissolve instant espresso in hot water in a medium sized bowl.
Add the Nutella and Kahlua, beating until smooth.
In a mixer, whip the whipping cream until it forms stiff peaks. Gently fold the nutella mixture into the whipped cream until the color is uniform.
Divide mousse into serving glasses- martini glasses work great!
Add toasted hazelnuts, chocolate shavings, and pirouette cookies for decoration","Dissolve instant espresso in hot water: 2 minutes
Add Nutella and Kahlua, beating until smooth: 3 minutes
Whip the whipping cream until it forms stiff peaks: 5 minutes
Gently fold the mixture into the whipped cream until uniform: 3 minutes
Divide mousse into serving glasses: 2 minutes
Add decorations: 3 minutes

Total Time: 18 minutes",83,21.83110547065735,18 minutes
Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce,"Recipe Name: Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce
Raspberry Sauce:In a saucepan, add the frozen raspberries and powdered sugar.Bring to a simmer and cook for about 3-4 minutes.Gently mash the raspberries with the back of a spatula while they cook.After 4 minutes, remove from heat and add the raspberry jam.  You could puree this mixture before serving, but I prefer it chunky.Chocolate Sauce:In a saucepan, add the chocolate chips and cream.Allow the chocolate chips to melt, stirring occasionally.","For estimating the total active time to cook the recipe Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce, I will break down the steps and allocate time to each activity that requires active involvement:

Raspberry Sauce:
Add frozen raspberries and powdered sugar to a saucepan, bring to a simmer, cook, and mash - 4 minutes.
Chocolate Sauce:
Add chocolate chips and cream to a saucepan, melt and stir occasionally - 3 minutes.
Dough Preparation:
Heat 1% milk in a saucepan, remove from heat, and add buttermilk - 2 minutes.
Pour milk into a standing mixer, whisk in yeast and sugar, let sit until foamy - 1 minute active time.
Mix flours, baking soda, and salt in a separate bowl - 1 minute.
Turn mixer on low speed and add flour mixture until dough forms - 3 minutes.
Cover and let dough sit for an hour (inactive time).
Shaping and Frying Beignets:
Lightly flour work surface, pour out dough, fold dough, and make a ball - 5 minutes.
Roll dough into a circle, cut into shapes - 5 minutes.
Heat oil to 375 degrees and fry beignets, turning frequently - 5 minutes active frying time.
Transfer beignets to a plate, shake in powdered sugar - 3 minutes.
Serving:
Serve warm with dipping sauces - 2 minutes.
Total Active Time Calculation:
Raspberry Sauce: 4 minutes
Chocolate Sauce: 3 minutes
Dough Preparation: 2 + 1 + 1 + 3 minutes
Shaping and Frying Beignets: 5 + 5 + 5 + 3 minutes
Serving: 2 minutes
Total Active Time: 34 minutes",41,20.96672797203064,34 minutes
Jalapeno Cheese Quick Bread,"Recipe Name: Jalapeno Cheese Quick Bread
Heat oven to 350
Lightly grease loaf pan, 9x5x3 or two mini muffin pans with cooking spray.
Stir together flour, cheese, baking powder, and salt in medium bowl.
Add olive oil, egg and milk, stir till combined. Fold in jalapenos.
Pour into pan
Bake 30 to 45 minutes or until golden brown and toothpick inserted in center comes out clean. Cool 5 minutes; run knife around edges of pan to loosen.
Remove from pan to wire rack. Cool 30 minutes before slicing, if you can wait that long, I didnt.","- Preheat time for the oven: 10 minutes
- Time for preparing the pan, mixing ingredients, and pouring into the pan: 15 minutes
- Baking time: 30 to 45 minutes (use the higher end for safety)
- Initial cooling time: 5 minutes
- Additional cooling time: 30 minutes

Total Time: 90 minutes",74,21.31044578552246,90 minutes
White Chocolate Cheesecake With Raspberries,"Recipe Name: White Chocolate Cheesecake With Raspberries
To make the crumb crust
In a small bowl combine the graham crumbs, sugar and melted butter.
Press into the bottom of a lightly greased springform pan. (Grease bottom only! I also like to line the bottom with parchment paper for easy release of the cheesecake from the pan when it has cooled.)
To prepare the cheesecake
In a double boiler, melt together the  cup whipping cream and 1 cup pf white chocolate chips. You want this just at the melting point, so be careful not to overheat it.
Let it cool to lukewarm if necessary after melting. Set aside to cool while you prepare the rest of the cheesecake batter.
Cream together the cream cheese and  cup sugar for a few minutes, scraping the bowl often.
Add the eggs, one at a time, beating well after each addition.
Stir in the vanilla extract and melted white chocolate.
Finally blend in the 1 cup of whipping cream until smooth.
Pour over the prepared base and bake in a bain marie (See Note) at 325 degrees F for 60 to 70 minutes. The cheesecake may be beginning to lightly brown at the edges but a cheesecake does not need to brown at all to be fully baked. The surface of the cheesecake should lose any shine when the cake is properly baked. It can still be slightly wobbly just at the center at this point.
Remove the cake from the oven and run a sharp knife completely around the edge of the pan. This will allow for the cheesecake to shrink as it cools and hopefully not crack (but who cares if it does? I am never bothered by a crack or two in the surface)
Allow the cheesecake to cool thoroughly on a wire rack at room temperature. (Do not put a hot cheesecake into the fridge to cool quickly, this may result in an under baked cheesecake because the residual heat actually continues to set the cheesecake after it comes out of the oven).
To finish the cheesecake
When completely cool cover the top with fresh raspberries and garnish with melted white chocolate if desired.
Chill completely in the refrigerator until ready to serve.","- Combine and press the crumb crust: 10 minutes.
- Melt white chocolate with cream and cool: 15 minutes.
- Prepare the cheesecake batter: 15 minutes.
- Bake the cheesecake: 65 minutes (average of 60 to 70 minutes).
- Cool the cheesecake at room temperature: 90 minutes.
- Chill thoroughly in the fridge: 120 minutes.
Total Time: 315 minutes.",83,21.554580688476562,315 minutes.
Classic Carrot Cake With Cream Cheese Frosting,"Recipe Name: Classic Carrot Cake With Cream Cheese Frosting
Preheat the oven to 32
Spread the pecans on a baking sheet and toast for 8 minutes, until fragrant. Cool and finely chop.In a bowl, whisk the flour, baking powder, baking soda, cinnamon and salt.In a small bowl, whisk the oil, buttermilk and vanilla.In a large bowl, using an electric mixer, beat the eggs and sugar at high speed until pale, 5 minutes.Beat in the liquid ingredients, then beat in the dry ingredients just until moistened.Stir in the carrots and pecans.Divide the batter between the pans and bake the cakes for 55 minutes to 1 hour, until springy and golden.
Let the cakes cool on a rack for 30 minutes, then unmold the cakes and let cool completely.For the Frosting:In a large bowl, using an electric mixer, beat the butter and cream cheese at high speed until light, about 5 minutes.Beat in the vanilla, then the confectioners' sugar; beat at low speed until incorporated. Increase the speed to high and beat until light and fluffy, about 3 minutes.Peel off the parchment paper and invert one cake layer onto a plate.
Spread with a slightly rounded cup of the frosting. Top with the second cake layer, right side up.
Spread the top and sides with the remaining frosting and refrigerate the cake until chilled, about 1 hour.","For estimating the total active time to cook the recipe Classic Carrot Cake With Cream Cheese Frosting, I will break down the steps and allocate time to each activity that requires active involvement:
Preparation:
Preheat the oven - 1 minute.
Spread pecans on a baking sheet and toast for 8 minutes (active time to spread and later chop) - 3 minutes.
Cool and finely chop pecans - 2 minutes.
Whisk flour, baking powder, baking soda, cinnamon, and salt in a bowl - 2 minutes.
Whisk oil, buttermilk, and vanilla in a small bowl - 1 minute.
Beat eggs and sugar at high speed until pale - 5 minutes.
Beat in liquid ingredients - 1 minute.
Beat in dry ingredients just until moistened - 2 minutes.
Stir in carrots and pecans - 2 minutes.
Divide the batter between the pans - 2 minutes.
Baking:
Bake the cakes (inactive time) - 0 minutes active.
Cooling:
Let the cakes cool on a rack for 30 minutes, then unmold and let cool completely (inactive time) - 0 minutes active.
Frosting:
Beat butter and cream cheese at high speed until light - 5 minutes.
Beat in vanilla and confectioners' sugar at low speed until incorporated, then at high speed until light and fluffy - 4 minutes.
Assembly:
Peel off the parchment paper and invert one cake layer onto a plate - 1 minute.
Spread with a slightly rounded cup of frosting - 2 minutes.
Top with the second cake layer, right side up, and spread the top and sides with the remaining frosting - 3 minutes.
Refrigeration:
Refrigerate the cake until chilled (inactive time) - 0 minutes active.
Total Active Time Calculation:
Preparation: 1 + 3 + 2 + 2 + 1 + 5 + 1 + 2 + 2 + 2 minutes
Frosting: 5 + 4 minutes
Assembly: 1 + 2 + 3 minutes
Total Time: 36 minutes",17,20.885387182235718,36 minutes
Knishes - Potato Filling,"Recipe Name: Knishes - Potato Filling
Brown the onions in the fat or butter. Beat in the potatoes, egg, salt and pepper until fluffy.
Place on dough.","Browning the onions usually takes around 10 minutes. Beating the potatoes with egg, salt, and pepper until fluffy might take about 5 minutes.

Total Time: 15 minutes",37,21.226966619491577,15 minutes
Gluten Free Fruit Stuffed Turkey Breast with Hibiscus Sauce,"Recipe Name: Gluten Free Fruit Stuffed Turkey Breast with Hibiscus Sauce
For the Turkey:Method: Preheat oven to 350 degrees.  Slit a pocket laterally in the turkey breast. Julienne the dried fruit and the spinach and mix in a bowl with the chopped shallot. Stuff the mixture into the turkey breast and season with salt and pepper, coat with the melted butter and wrap in sheet of foil.
Heat a large skillet until it is very hot and place the turkey in the pan and allow to cook for about two minutes on each side or until it is golden brown on all sides (you will have to peek inside the foil to check).        
Place the pan in the oven and cook for 15 minutes then flip the breasts and cook for an additional 20 to 30 minutes or until a probe thermometer inserted into the middle of the breast reads 165 degrees.
Remove the pan from the oven and place the pan on a cutting board and allow to rest for five minutes.
Remove the turkey from the foil then carve into 1  inch thick medallions
For the sauce:Method: In a non-reactive saucepan bring the vinegar and the sugar to a boil. Cook the mixture till the sugar begins to caramelize (Brown).
Place a 1 oz. pool of the sauce on a plate and fan the carved turkey over the sauce.","For estimating the total active time to cook the recipe Gluten Free Fruit Stuffed Turkey Breast with Hibiscus Sauce, I will break down the steps and allocate time to each activity that requires active involvement:

Turkey Preparation:
Preheat the oven to 350 degrees - 1 minute.
Slit a pocket in the turkey breast - 2 minutes.
Julienne the dried fruit and spinach, mix with chopped shallot - 5 minutes.
Stuff the mixture into the turkey breast, season, coat with melted butter, and wrap in foil - 5 minutes.
Heat a skillet, place the turkey in the pan, and cook for about two minutes on each side - 6 minutes.
Baking:
Bake the turkey (inactive time) - 0 minutes active.
Remove from the oven and rest for five minutes (inactive time) - 0 minutes active.
Carving:
Remove the turkey from the foil and carve into 1-inch thick medallions - 3 minutes.
Sauce Preparation:
Bring vinegar and sugar to a boil in a non-reactive saucepan, cook until the sugar caramelizes - 5 minutes.
Plating:
Place a 1 oz. pool of sauce on a plate and fan the carved turkey over the sauce - 2 minutes.
Total Active Time Calculation:
Turkey Preparation: 1 + 2 + 5 + 5 + 6 minutes
Carving: 3 minutes
Sauce Preparation: 5 minutes
Plating: 2 minutes
Total Time: 29 minutes",71,21.596286296844482,29 minutes
Fenugreek Roti,"Recipe Name: Fenugreek Roti
Soak the dried fenugreek leaves in warm water for 5 to 10 minutes.
Drain, making sure to squeeze out excess liquid.Sift the flours and baking soda in a small strainer into a medium bowl. Stir in the salt, chili powder, cayenne, cumin, coriander, ajwain seeds, asafetida, yogurt and fenugreek leaves.
Mix in about 1/4 cup of water to make a semi-hard batter. Cover and let stand at room temperature for 1 hour. Dusting your hands with flour, divide the dough into 10 to 12 small balls.
Roll out each ball into a roughly 3-inch circle.
Brush a non-stick pan with a bit of ghee or oil and heat over medium heat. When hot, add a rolled out portion to the pan and cook for 4 minutes or until the bottom is browned.
Sprinkle with a bit of oil, flip and fry for another 2 to 3 minutes or until both sides are browned.
Transfer to a plate, keep heated in a 150 oven, and repeat for the rest of the pancakes.","Here is the total time breakdown for making Fenugreek Roti:

1. Soak fenugreek leaves: 10 minutes (max time as per instruction).
2. Draining and mixing steps: Approximately 5 minutes.
3. Cover and let stand: 60 minutes.
4. Dividing dough into balls: 5 minutes.
5. Rolling out each ball: Assume 1 minute per ball for 12 balls = 12 minutes.
6. Cooking each roti: 7 minutes per roti for 12 rotis = 84 minutes.

So, the total time is:
10 + 5 + 60 + 5 + 12 + 84 = 176 minutes.

Total Time: 176 minutes",148,23.526119232177734,176 minutes
Creamy Mushrooms Over Soba Noodles (Vegan),"Recipe Name: Creamy Mushrooms Over Soba Noodles (Vegan)
Melt 1 tbs of the Earth Balance in a saute pan.
Add mushrooms & garlic stirring until the mushrooms are dark and reduced.Set the mushrooms aside.In the same pan, melt the second tbs of Earth Balance and stir in the flour.  Cook stirring for about a minute, making a roux to thicken your sauce.  Slowly add the soy milk, stirring until it is smooth and thickened.
Add the mushrooms, lemon juice, thyme, salt, & pepper
Add a 1/4 cup of white wine.And cook until reduced and sauce has a pleasant consistency
Divide the cooked soba noodles into bowls
Ladle the sauce over soba noodles.
Garnish with sprigs of fresh thyme if you like.Enjoy!","1. Melt Earth Balance: 2 minutes
2. Cook mushrooms and garlic: 10 minutes
3. Make roux and thicken sauce: 5 minutes
4. Combine ingredients and reduce sauce: 10 minutes
5. Prepare and divide soba noodles: 10 minutes
6. Assemble dish: 2 minutes

Total Time: 39 minutes",75,1.2629811763763428,39 minutes
Korean Beef Rice Bowl,"Recipe Name: Korean Beef Rice Bowl
Rinse beef, pat dry, and cut across the grain into 1/8-inch-thick slices about 3 inches long. In a small bowl, mix beef with 1/4 cup Korean Marinade.
Remove and discard bean stem ends and strings.
Cut beans diagonally in 3-inch lengths.
Cut carrot into matchstick-size pieces about 3 inches long.
In a 14-inch wok or 12-inch frying pan over high heat, mix 1/2 cup water, beans, and carrot. Cover and stir occasionally just until tender to bite, about 3 minutes.
Drain; immerse in cold water.
Drain when cool. In a bowl, mix with vinegar, sesame oil, sugar, and salt to taste.
Place wok over high heat; when hot, add salad oil.
Add beef with liquid in bowl; stir until meat is no longer pink, about 2 minutes.
Add remaining marinade and broth to pan; stir until boiling.
Scoop rice into bowls; add beef and sauce, then vegetables and seasonings.
Sprinkle with onions and sesame seed.
This recipe yields 4 servings.
Comments: If you can't find toasted sesame seed, stir regular sesame seed in a frying pan over low heat until golden, 1 minute.","Preparation of beef and initial marination: 15 minutes  
Removing bean stem ends and strings: 2 minutes  
Cutting vegetables: 3 minutes  
Cooking vegetables: 3 minutes  
Cooling and mixing vegetables with seasonings: 5 minutes  
Cooking beef: 5 minutes  
Scoop rice, assemble bowls, and sprinkle toppings: 5 minutes  

Total Time: 38 minutes",78,21.697465896606445,38 minutes
Penne Pasta with Broccoli and Cheese,"Recipe Name: Penne Pasta with Broccoli and Cheese
In a large pot add water and bring to a boil.
Add pasta and cook until done, about 6 minutes.
Meanwhile, heat the broth, basil, black pepper, garlic and broccoli in a large skillet over medium heat bring to a boil. Reduce the heat to low. Cover and cook until the broccoli is tender-crisp.
Add the pasta to the broccoli mixture and toss to coat.
Add cheese to the pasta mixture
Serve and enjoy!
Makes 4 servings, about 2 cups or so
Calories per serving:  235,  Fat:  2.
Cholesterol:  5,  Sodium:  138,  Carbs:  40.3,  Fiber:  8.5,  Sugar:  3.3,  Protein:  12","- Bringing water to boil generally takes about 10 minutes.
- Cooking pasta takes 6 minutes.
- Meanwhile, simultaneous heating of broth and cooking broccoli could take about 10 minutes.

These steps can be overlapped to save time. The longest step would dominate the timing.

Total Time: 20 minutes",61,23.00955080986023,20 minutes
"Beer Can Chicken, Country Style Vegetables with Roasted Garlic","Recipe Name: Beer Can Chicken, Country Style Vegetables with Roasted Garlic
Pre-heat oven to 200C
Rub chicken with olive oil and lemon juice.
Cut a garlic clove in half and rub the open end all over the chicken. In a small bowl mix the paprika, crushed chilli, thyme, salt and pepper. Rub this mixture into the chicken.
If injecting your chicken with marinade do this now.
Mix all ingredient together until smooth so nothing clogs the injector. Inject into various points of the flesh.4.. To prepare for the oven. Open the can of beer and pour out 1/3 of the beer (better, drink it!).
Place the beer can on a roasting tray and gently place the chicken on top of the can as far down as you can go.5..
Place chicken in the oven standing up and roast for approx. 25 minutes on 200C, then turn down to 180C and roast a further 25 minutes. (Depending on what type of oven you have you may need to adjust these times, and check on the progress of the bird as you go.)  In the final 20 minutes of roasting add your garlic bulb to the roasting pan.
For the vegetables. Rub pepper in oil and place on some foil in the oven along with the chicken for approx. 15  20 minutes until soft and charred and skin is peeling off. When ready remove from oven, peel off skin and slice into strips.
Boil or steam green beans.
Boil, then char the corn in a griddle pan. When ready take a knife and from the top to the bottom cut off the corn kernels, slicing downwards. At this point you could also add your strips of red pepper and beans to the griddle pan to add some charred stripes. slicing downwards.7.. To plate the dish.
Mix the pepper, beans and corn in a bowl with some olive oil, a squeeze of lemon juice, chopped coriander and salt and pepper.
Serve this along with pieces of the paprika beer can chicken.","- Pre-heating oven: 10 minutes
- Prepping and rubbing chicken: 10 minutes
- Injecting marinade: 5 minutes
- Setting up chicken and placing in oven: 5 minutes
- Initial roasting: 25 minutes
- Adjusting temperature and additional roasting: 25 minutes
- Roasting garlic bulb: 20 minutes
- Roasting pepper: 20 minutes
- Boiling/steaming vegetables and charring corn: 20 minutes
- Mixing vegetables and plating: 10 minutes

Note: Some of these steps overlap, especially those during the roasting period.

Total Time: 90 minutes",129,22.701314687728882,90 minutes
Swiss Chard Wraps,"Recipe Name: Swiss Chard Wraps
Chop off the stems of the swiss chard at the point where it meets the leaf. You could stem the swiss chard entirely. I like leaving a bit of stem with the leaves to give better structure to the wraps.
Chop the cauliflower into small pieces and pulse them in a food processor until it looks like rice. I usually pulse the cauliflower florets and the stalk together.
Place the olive oil in a saut pan over medium-high heat. Once the pan is hot, add the garlic and let it fry for about a minute or two, or until the garlic starts to brown.
Add the pulsed cauliflower rice and cook it for about 2-3 minutes. The cauliflower should turn into a vibrant yellow-orange color when it is cooked.
Add a pinch of salt and chopped basil to the cauliflower and stir.
Spiralize the zucchini with Blade B to create zucchini noodles. If you do not have a spiralizer, just create zucchini ribbons with a vegetable peeler.
To assemble the wraps, place a large leaf flat down.
Add a bit of sauted cauliflower, zucchini noodles, red pepper, and avocado along the swiss chard stalk.
Drizzle a bit of vinaigrette on top of the vegetables and wrap everything up.
Enjoy these wraps as a side to your favorite protein! Feel free to dip these wraps in more sauce.
These wraps are best consumed when they are freshly made. Refrigerate any leftovers in an airtight container.","Chop the swiss chard stems: 2 minutes
Chop and pulse the cauliflower: 5 minutes
Heat olive oil and fry garlic: 2 minutes
Cook cauliflower: 3 minutes
Add salt and basil: 1 minute
Spiralize zucchini: 3 minutes
Assemble wraps: 10 minutes

Total Time: 26 minutes",73,21.590930938720703,26 minutes
Healthy Mint Brownies,"Recipe Name: Healthy Mint Brownies
Combine the flax, applesauce and almond milk together in a small bowl. Set aside to allow to thicken. In a food processor, combine the blueberries, pear, black beans and oil. Pulse until the mixture become very smooth. Next, add the extracts and process until fully combined.
Remove the contents from processor into a medium sized mixing bowl.
Add the coconut sugar, cocoa, baking powder, soda, and salt and mix.
Add the flour with the chocolate chips and mix until just combined.
Pour the batter into your prepared dish and bake at 350 for 44-45 minutes.
Remove from the oven and allow to cool for at least 50 minutes. If you would like, place the brownies in the fridge for 20 or 30 minutes to speed up cooling time. While the brownies cool, start on your mint filling.In a small bowl, combine the soft avocado with full fat coconut milk or heavy cream. Beat on high for about 5 minutes until the mixture is fluffy and smooth.
Add the powdered xylitol and mix well.
Add peppermint extract and coloring if desired, and beat until all incorporated. Once the mixture is perfectly fluffy and creamy, add the flour and mix until just combined. The mixture should be thick and smooth but still easy to spread.
Spread the mixture evenly over the cooled brownies and place in the fridge for 10 minutes, until the mint filling has firmed.Next, melt the chocolate.
Add the oil to the melted chocolate and stir to combine.
Remove the brownies from the fridge and pour the melted chocolate over the brownies, gently and quickly spread the chocolate evenly over the brownies. The mint filling should be cold so the warm chocolate doesnt melt the mint filling, but the chocolate will cool quickly once it touches the cold mint. Make sure to work quickly so the chocolate layer will be even. Return the brownies to the fridge to cool for another 5 minutes until the chocolate is set.
Cut the brownies after the 5 minutes with a sharp knife.
Serve brownies chilled or at room temperature. Store any left overs in an airtight container in the refrigerator.NOTE: Once the chocolate layer has firmed, be sure to cut all the brownies immediately with a sharp knife. I cut some of the brownies when they were really, really cold, and they didnt cut clean and pretty.*For those who are not concerned with gluten content, wheat or white flour would work okay as well. For wheat, decrease the amount by 1 tablespoon. For the filling, be sure to use a white color flour to keep the mint filling a bright pretty green color.**You can use any kind of chocolate you like, but dark chocolate gives a wonderful flavor to the peppermint and sugar free dark chocolate is the easiest to find.","1. Combine flax, applesauce, and almond milk; set aside (5 minutes).
2. Blend blueberries, pear, black beans, oil, and extracts in food processor (5 minutes).
3. Mix blended contents with sugar, cocoa, baking powder, soda, salt (3 minutes).
4. Add flour and chocolate chips to mixture (2 minutes).
5. Pour batter into dish and bake (44-45 minutes).
6. Cool for at least 50 minutes.
7. (Optional) Cool in the fridge (20-30 minutes) instead of step 6.
8. Combine avocado and coconut milk/heavy cream; beat until smooth (5 minutes).
9. Add xylitol, peppermint, and coloring; beat again (3 minutes).
10. Mix until smooth; spread mixture over brownies and refrigerate (10 minutes).
11. Melt chocolate and combine with oil (3 minutes).
12. Spread melted chocolate over cold mint filling (3 minutes).
13. Return brownies to fridge (5 minutes).

Total Time: 138-148 minutes",213,23.10442280769348,138-148 minutes
Fresh Herb Omelette,"Recipe Name: Fresh Herb Omelette
Stir your eggs together in a bowl with the pepper making sure to break the yolks.
Heat a pan to medium-high and pour enough olive oil to cover the bottom of the pan.
Pour your egg into the pan. Cook for 1-2 minutes or until the egg stops bubbling and begins to solidify.
Flip the egg over and heat the other side until it is cooked through.
Place on your plate.
Add your toppings and enjoy!","Stirring the eggs: 2 minutes
Heating the pan: 3 minutes
Cooking the first side of the egg: 2 minutes
Cooking the second side of the egg: 2 minutes
Plating and adding toppings: 2 minutes

Total Time: 11 minutes",58,21.49672532081604,11 minutes
